FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
FZZZZZZZKZZZZZHZZZZZZZZKKHHZZZZZZZZZZZZZZHZZZZKZZZZZZZF
FZZZZZZZKZZZZZHZZZZZZZZKKHHZZZZZZZZZZZZZZHZZZZKZZZZZZZF
FZZZZZHZZZZZZZZZZZKZZHZZZKZZZZZZZZZZZZKZZZZZZZZZZZZZZZF
FZZZZKZZZZZZZHZZZZZZZHZZZZKZHHKZZZZZZZZZZZZZZZHZZZZZZZF
FHHHZZZFFFFFFZZZZZZFFFFFFZZZZFFFFFFZZZZZZFFFFFFZZZZHHHF
FFFFFFFFhhhhhFFZZZFFhhhhhFFFFhhhhhhFFZZZFFhhhhhFFFFFFFF
fhhhhhhhwwwwwwFFFFzzzzzzzzzzzzzzzzzzFFFFwhhhhhwhhhhhhhf
fwhwwwwwwhhhwwfyyyyyyyyyyyyyyyyyyyyyyyyfwhhhhhwhhwhhhhf
fwwwwhhhhhwwwwfyyyyyyyyyyyyyyyyyyyyyyyyfwwhhhwwhhwwwhhf
fwwhhhhhhwwwwwfyyyyyyyyyyyyyyyyyyyyyyyyfwhhwwwhhwwhhhhf
fwhhhhhhhwwwwwffffffffffffffffffffffffffwhhhhwwwwhhhhhf
fwwwwwhhhhhhhwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwhhf
fhhhhhhhxxxxxxxxxxxhhhhhhhhhhhhhhhxxxxxxhhhhhhhhhhhxxhf
fhhhhhhxxyyffffyyyxxhhhhhhhhhhhhhhxxxxxxxxxhhhxxxhhxxxf
fhhhhxxxyyfyyyyfyyyxxxhhhhhhhhhhhhxxabxxhhxhhhxhhhhxhhf
fhhhxxzyyyfyyyyfyyyzzxxhhhhhhhhhhhxxcdxxhxxhxxxxhhhxhhf
fhhhhxxxyyfyyyyfyyxxxxhxxxxhhhhhhhxxxxxxhxhhxhhxhhhxhhf
fhhhxxzyyyfyyyyfyyyzzxxxhxxxhhxxxxxxhhhhhxxxxhhxxxxxhhf
fhhhxxzyyyyffffyyyyxxxhhhhhxxxxxhhhhhhhhhhhhhhhhhhhhhhf
fhhhhxxxyyyyyyyyyyxxhhhhhhhhhxhhhhhhhhhhhhhhhhhhhhhhhhf
fhhwwwxxxxxxxxxxxxxxhhhhhhhhxxxhhhhhhhhhhhhhhhhhhhhhhhf
fwwwhhhhhhhhhwwwwwwwwwwwwwwwwwwwwwwhhhhhhhhhhhhwwwwwhhf
fwhwwwwhhwwwhhhhhhhhhhwwwhhhhhhhhwwwwwhhhhhhhwwwwwwwhhf
fwhhhhhhhhhhhhhhhhwwwwwwwwwhhhhhhwwwwwwhhhhhhhhhhhhwhhf
fwwwwwwwwhhhhhhhhhhhhhhhhhwwwhhhhhwwwwwwwwwhhhhhhhhwhhf
fwwhhwwhhhhhhwwwwwwwwwwwwwwwwhhhhhhhhhhhwwwwwhhhhhhwhhf
fhwwwwhhhwwwwwhhhhhhhhhhhhhhhhhwwhwwwwwwwhhhwwwhhhwwwhf
fhhwwhhhhhwwhhhhhhhhhhhwwwwwwwwwwwwwhhhhhhhhhhwwwhhhwhf
fwwwhhhhhhhwhh6666hhhhhhwhhhhhhhhhwww6666hhhhhwwwwwwwhf
66666666wwwww6633366wwwww66666wwwww6633366wwwww66666666
6333333666666334333666666333336666663343336666663333336
6333433333333333333333433333333333333353333333343333336
6333333333533353333333443333333333343333333353333333336
6333353333333343333333334343333333333333333333343333336
6333333354533333333333433343335453333333333453335534336
6666666666666666666666666666666666666666666666666666666


player=26,18
xplayer=6,2
xplayer=6,34
item = 7, 15, file/items/blume5.txt
item = 8, 16, file/items/blume5.txt
item = 17, 15, file/items/blume5.txt
item = 9, 15, file/items/blume5.txt
item = 9, 17, file/items/blume5.txt
item = 16, 20, file/items/blume5.txt

item = 11,30,file/items/melone.txt
item = 25,28,file/items/kraft1.txt
item = 5,23,file/items/karotte.txt
item = 50,29,file/items/herzvoll.txt
item = 52,13,file/items/kraft2.txt
item = 12,9,file/items/banane.txt
item = 28, 25, file/items/münze10.txt
item = 45, 30, file/items/münze10.txt
item = 41, 9, file/items/münze10.txt
item = 18, 16, file/items/münze10.txt
item = 40, 14, file/items/münze10.txt

item = 24, 22, file/items/loch.txt
item = 25, 22, file/items/stachelnormal.txt
item = 23, 22, file/items/stachelnormal.txt
item = 24, 12, file/items/stachelnormal.txt
item = 25, 12, file/items/stachelnormal.txt
item = 23, 12, file/items/stachelnormal.txt
item = 24, 29, file/items/stachelnormal.txt
item = 25, 29, file/items/stachelnormal.txt
item = 23, 29, file/items/loch.txt

rosa
figure = 4, 2, file/figure/pegasus.txt
figure = 10, 2, file/figure/hase.txt
figure = 14, 2, file/figure/waschbaer.txt
figure = 24, 2, file/figure/einhorn.txt
figure = 43, 2, file/figure/schafrosa.txt
figure = 43, 2, file/figure/schafrosa.txt
figure = 43, 2, file/figure/schafrosa.txt
figure = 43, 2, file/figure/schafrosa.txt
item = 2, 1, file/items/münze1.txt
item = 13, 2, file/items/münze1.txt
item = 24, 3, file/items/münze1.txt
item = 34, 4, file/items/münze1.txt
item = 48, 5, file/items/münze1.txt
item = 43, 1, file/items/münze5.txt
item = 33, 2, file/items/münze5.txt
item = 23, 3, file/items/münze5.txt
item = 13, 5, file/items/münze5.txt
item = 53, 1, file/items/münze10.txt
item = 28, 5, file/items/münze10.txt
item = 4, 5, file/items/münze10.txt
item = 50, 3, file/items/karotte.txt
item = 1, 1, file/items/paprika.txt
item = 14, 4, file/items/herzvoll.txt
item = 18, 5, file/items/weintraube2.txt
item = 5, 3, file/items/uhr.txt
item = 47, 1, file/items/kraft7.txt
item = 16, 6, file/items/kraft6.txt
item = 50, 4, file/items/blume1.txt
item = 1, 2, file/items/blume2.txt
item = 14, 5, file/items/blume3.txt
item = 18, 4, file/items/blume4.txt
item = 5, 2, file/items/blume5.txt
item = 47, 2, file/items/blume6.txt
item = 16, 5, file/items/blume7.txt
item = 16, 4, file/items/blume8.txt

blau
figure = 19, 34, file/figure/drache.txt
figure = 10, 34, file/figure/hase.txt
figure = 14, 34, file/figure/braunerbaer.txt
figure = 24, 34, file/figure/minotaur.txt
figure = 19, 34, file/figure/schafblau.txt
figure = 43, 34, file/figure/schafblau.txt
figure = 19, 34, file/figure/schafblau.txt
figure = 43, 34, file/figure/schafblau.txt
item = 2, 31, file/items/münze1.txt
item = 13, 32, file/items/münze1.txt
item = 24, 33, file/items/münze1.txt
item = 34, 34, file/items/münze1.txt
item = 48, 34, file/items/münze1.txt
item = 43, 32, file/items/münze5.txt
item = 33, 32, file/items/münze5.txt
item = 23, 32, file/items/münze5.txt
item = 13, 35, file/items/münze5.txt
item = 53, 32, file/items/münze10.txt
item = 28, 35, file/items/münze10.txt
item = 4, 35, file/items/münze10.txt
item = 50, 34, file/items/karotte.txt
item = 2, 32, file/items/paprika.txt
item = 14, 31, file/items/herzvoll.txt
item = 18, 35, file/items/weintraube2.txt
item = 5, 33, file/items/uhr.txt
item = 47, 35, file/items/kraft7.txt
item = 16, 30, file/items/kraft6.txt
item = 50, 34, file/items/blume1.txt
item = 1, 32, file/items/blume2.txt
item = 14, 35, file/items/blume3.txt
item = 18, 34, file/items/blume4.txt
item = 5, 32, file/items/blume5.txt
item = 47, 33, file/items/blume6.txt
item = 16, 35, file/items/blume7.txt
item = 16, 33, file/items/blume8.txt





